name,star,room1_price,room2_price,address,longitude,latitude,hotel_description,room1_name,room1_description,room1_maxOccupancy,room1_totalQuantity,room2_name,room2_description,room2_maxOccupancy,room2_totalQuantity,email
연당 게스트 하우스,1,45000,68000,서울특별시 종로구 계동 3,126.987046,37.582537,"북촌 한옥마을 중심에 위치한 전통 한옥 스타일의 게스트하우스입니다.
고즈넉한 한옥 분위기 속에서 한국 전통 문화를 체험할 수 있습니다.
경복궁, 창덕궁, 종묘 등 주요 관광지와 가까운 위치에 있습니다.
조용한 골목에 자리해 서울 도심 속에서도 편안한 휴식을 제공합니다.
전통적인 공간과 현대적인 편의를 함께 경험할 수 있는 숙소입니다.",전통 온돌방,정겨운 골목길 풍경과 따뜻한 아랫목의 정취를 간직한 소박한 공간입니다. 북촌의 숨은 매력을 가장 가까이서 느낄 수 있는 따뜻한 쉼터입니다.,2,2,코지 가든 룸,작은 안뜰이 내려다보이는 아늑한 객실입니다. 복잡한 도심 한복판에서 잠시 시간이 멈춘 듯한 고요한 휴식을 즐기기에 안성맞춤입니다.,3,1,yeondang@gmail.com
북촌빈관 by 락고재,3,436000,508000,서울 종로구 가회동 31-122,126.98498,37.58227,"북촌 한옥마을에 위치한 전통 한옥 호텔로 한국의 아름다운 건축미를 경험할 수 있습니다.
락고재 브랜드가 운영하는 숙소로 고급스러운 한옥 스테이를 제공합니다.
한옥 마루와 정원을 통해 한국 전통 주거 문화를 체험할 수 있습니다.
경복궁과 삼청동 카페거리 등 주요 관광지와 가까운 위치입니다.
조용하고 프라이빗한 분위기 속에서 특별한 서울 여행을 즐길 수 있습니다.",한국 전통 한옥,은은한 솔향과 한지의 따스함이 느껴지는 고즈넉한 한옥 객실입니다. 대청마루에서 즐기는 차 한 잔의 여유로 한국 전통 주거 문화의 정수를 체험해 보세요,2,5,한국 전통 한옥 (온돌),현대적인 편의시설과 전통 온돌 시스템이 결합된 하이엔드 한옥입니다. 창 너머로 보이는 고궁의 처마 곡선이 깊은 평온함을 선사합니다.,4,1,bookchon@gmail.com
화동 1 번지,1,290000,,서울특별시 종로구 화동 1,126.98272,37.58088,"서울 종로구 북촌 지역에 위치한 전통 한옥 스타일 숙소입니다.
한옥 특유의 따뜻한 분위기와 편안한 휴식을 제공합니다.
삼청동, 북촌 한옥마을, 경복궁 등 주요 관광지와 가까운 위치입니다.
전통적인 마루와 한옥 구조를 체험할 수 있는 특별한 공간입니다.
서울 도심에서 한국 전통문화를 경험하고 싶은 여행객에게 적합합니다.",한옥,정겨운 골목길 풍경과 따뜻한 아랫목의 정취를 간직한 소박한 공간입니다. 북촌의 숨은 매력을 가장 가까이서 느낄 수 있는 따뜻한 쉼터입니다.,4,1,,,,,hwadong@gmail.com
코리아나 호텔,4,150000,630000,서울특별시 중구 태평로1가 61,126.976838,37.570355,"서울 중심부에 위치한 클래식한 비즈니스 호텔입니다.
광화문과 주요 관광지와 가까워 여행과 출장에 편리합니다.
편안하고 실용적인 객실에서 안정적인 휴식을 제공합니다.
레스토랑과 연회장 등 다양한 편의시설을 갖추고 있습니다.
오랜 전통과 신뢰를 바탕으로 편안한 숙박 경험을 제공합니다.",프리미어 킹,세종대로와 광화문 광장의 역동적인 에너지를 느낄 수 있는 세련된 객실입니다. 최고급 매트리스와 방음 설비로 도심 속 완벽한 숙면을 보장합니다.,2,5,수피리어 퀸룸,고층부에 위치하여 시원한 도심 뷰와 함께 전용 라운지 조식 혜택을 누릴 수 있습니다. 효율적인 워크스테이션이 구비되어 비즈니스 고객에게 최상의 환경을 제공합니다,2,5,koreana@gmail.com
럭셔리 한옥 채하,4,338000,,서울특별시 종로구 가회동 31-7,126.98425,37.58295,"북촌 한옥마을에 위치한 프라이빗 럭셔리 한옥 숙소입니다.
전통 한옥 구조와 현대적인 편의시설이 조화를 이루는 공간입니다.
고급스러운 인테리어와 넓은 마당을 갖춘 독채형 숙소입니다.
경복궁과 삼청동 문화거리 등 관광지와 가까운 위치입니다.
한국 전통의 아름다움을 느끼며 특별한 휴식을 즐길 수 있습니다.",전통한옥 방전통 한옥 스테이 (독채),"서촌/북촌의 정취를 고스란히 간직한 프라이빗 한옥입니다. 현대적인 편의시설과 전통 온돌, 그리고 작은 정원이 어우러져 한국적인 미의 극치를 경험할 수 있습니다.",3,1,,,,,chaeha@gmail.com
파라다이스 호텔 부산,5,220000,480000,부산광역시 해운대구 중동 1408-5,129.1668,35.1601,"해운대 해변 바로 앞에 위치한 부산 대표 럭셔리 호텔입니다.
탁 트인 오션뷰 객실에서 아름다운 바다 전망을 감상할 수 있습니다.
수영장, 스파, 카지노 등 다양한 고급 부대시설을 제공합니다.
고급 레스토랑과 다양한 다이닝 옵션을 즐길 수 있습니다.
휴양과 관광을 동시에 즐기기에 최적의 호텔입니다.",디럭스 오션 테라스:,해운대 바다를 가장 가까이서 마주할 수 있는 전용 테라스가 포함된 객실입니다. 파도 소리와 함께 즐기는 야외 스파 '씨메르' 이용 혜택으로 럭셔리 휴양의 정수를 느껴보세요,2,5,오션 테라스 스위트,부산의 화려한 시티 라이프와 해운대의 여유로움을 동시에 누릴 수 있는 우아한 객실입니다. 최고급 어메니티와 세심한 서비스로 격조 높은 투숙을 보장합니다,4,2,paradisehotel@gmail.com
신라스테이 부산 해운대,4,133500,144000,부산광역시 해운대구 우동 629-6,129.1586644,35.1598682,"해운대 해변 인근에 위치한 모던한 비즈니스 호텔입니다.
세련된 객실과 실용적인 편의시설을 갖추고 있습니다.
관광과 비즈니스 모두에 적합한 위치와 서비스를 제공합니다.
주변에 다양한 레스토랑과 관광 명소가 있어 이용이 편리합니다.
합리적인 가격과 안정적인 서비스로 인기 있는 호텔입니다.",스탠다드 룸,여행객에게 최적화된 공간입니다. 해운대 해수욕장 도보 1분 거리의 압도적인 접근성을 자랑합니다,2,5,스탠다드 오션뷰,합리적인 가격으로 해운대 수평선을 감상할 수 있는 실속형 객실입니다. 신라만의 엄선된 어메니티와 미니멀한 인테리어가 쾌적한 여행의 즐거움을 더해줍니다,2,5,shillastayBusan@gmail.com
그랜드 조선 부산,5,230000,1360000,부산광역시 해운대구 중동 1405-16,129.1630504,35.1600161,"해운대 바다 전망을 자랑하는 프리미엄 호텔입니다.
세련된 인테리어와 넓은 객실에서 편안한 휴식을 제공합니다.
수영장과 레스토랑 등 다양한 고급 부대시설을 갖추고 있습니다.
해운대 해변과 가까워 관광과 휴양을 동시에 즐길 수 있습니다.
고급스러운 분위기와 서비스가 돋보이는 호텔입니다.",시그니처 오션 스위트,눈앞에 펼쳐지는 환상적인 바다 전망과 파도 소리를 온전히 담아낸 최상위 스위트룸입니다. 천연 대리석 욕실과 딥티크 어메니티가 품격을 한층 더 높여줍니다.,2,5,시그니처 펜트하우스,호텔 최상층에 위치하여 압도적인 파노라마 뷰와 최고급 부대시설을 단독으로 누릴 수 있는 객실입니다. 누구에게도 방해받지 않는 최고의 럭셔리를 경험해 보세요.,4,1,grandJosunBusan@gmail.com
센텀 비즈니스 호텔,3,66000,73000,부산광역시 해운대구 우동 1516,129.131595,35.1669365,"부산 센텀시티 중심에 위치한 실용적인 비즈니스 호텔입니다.
벡스코와 신세계 센텀시티 등 주요 시설과 가까운 위치입니다.
깔끔하고 편안한 객실로 쾌적한 숙박을 제공합니다.
출장이나 관광 모두에 적합한 편리한 교통 환경을 갖추고 있습니다.
합리적인 가격으로 이용할 수 있는 호텔입니다.",스탠다드 룸,"신세계 센텀시티와 인접하여 비즈니스와 쇼핑에 최적화된 객실입니다. 업무를 위한 넓은 책상과 초고속 인터넷, 편안한 소파를 갖추고 있습니다",2,5,코너 디럭스,센텀시티의 화려한 야경을 파노라마 뷰로 즐길 수 있는 특별한 객실입니다. 독립적인 업무 공간과 넓은 욕실로 장기 투숙 고객에게도 인기가 높습니다.,2,5,centun@gmail.com
라마다 앙코르 바이 원덤 부산 해운대,2,133500,17100,부산광역시 해운대구 우동 603-9,129.1595005,35.1632035,"해운대 해변과 가까운 글로벌 호텔 브랜드입니다.
모던한 객실과 편안한 숙박 환경을 제공합니다.
해운대 관광지와 쇼핑 시설 접근성이 뛰어납니다.
레스토랑과 다양한 편의시설을 이용할 수 있습니다.
부산 여행을 즐기기에 좋은 위치의 호텔입니다.",스탠다드 룸,합리적인 가격으로 해운대 수평선을 감상할 수 있는 실속형 객실입니다. 엄선된 어메니티와 미니멀한 인테리어가 쾌적한 여행의 즐거움을 더해줍니다,2,5,수피리어 퀸룸,합리적인 가격으로 해운대 수평선을 감상할 수 있는 실속형 객실입니다. 엄선된 어메니티와 미니멀한 인테리어가 쾌적한 여행의 즐거움을 더해줍니다,2,5,lamadaBusan@gmail.com
어바니 센트럴 부산,1,110000,210000,부산 남구 문현동 1227-2,129.0655207,35.1481182,"부산 도심에 위치한 세련된 분위기의 호텔입니다.
깔끔하고 현대적인 객실에서 편안한 휴식을 제공합니다.
비즈니스와 관광 모두에 적합한 위치를 자랑합니다.
주변에 다양한 식당과 편의시설이 있어 이용이 편리합니다.
합리적인 가격과 편안한 분위기가 특징입니다.",스탠다드 룸,"실용적인 공간 활용이 돋보이는 객실로, 비즈니스 출장객에게 최적화된 업무 데스크와 편안한 휴식 공간을 동시에 갖추고 있습니다",2,5,스탠다드 더블,아늑하고 편안한 휴식을 제공하는 베이직 객실입니다. 합리적인 가격에 쾌적한 침구와 꼭 필요한 편의 시설을 모두 갖추고 있어 실속 있는 여행에 적합합니다.,2,5,urbanyCentral@gmail.com
토요코 인 부산 서면,2,80000,12000,부산광역시 부산진구 전포동 667-15,129.0640533,35.1579673,"일본 호텔 체인 특유의 깔끔한 서비스가 특징입니다.
부산 서면 중심에 위치해 교통과 쇼핑이 편리합니다.
실용적인 객실과 편안한 숙박 환경을 제공합니다.
출장이나 단기 여행객에게 적합한 호텔입니다.
합리적인 가격과 안정적인 서비스로 인기 있는 숙소입니다",비즈니스 싱글,1인 출장객이나 혼자만의 휴식을 원하는 분들을 위해 컴팩트하게 구성된 객실입니다. 초고속 Wi-Fi와 인체공학적 의자가 세팅된 워크스페이스를 제공합니다.,2,5,수피리어 퀸룸,"실용적인 공간 활용이 돋보이는 객실로, 비즈니스 출장객에게 최적화된 업무 데스크와 편안한 휴식 공간을 동시에 갖추고 있습니다",2,5,tokyoInn@gmail.com
부산 비즈니스 호텔,3,94000,125000,부산광역시 부산진구 부전동 515-6,129.0558364,35.1565551,"서면 중심에 위치한 실용적인 비즈니스 호텔입니다.
교통과 쇼핑, 맛집 접근성이 뛰어난 위치입니다.
깔끔하고 편안한 객실에서 휴식을 취할 수 있습니다.
출장과 관광 모두에 적합한 숙박 환경을 제공합니다.
합리적인 가격과 편리한 위치가 장점입니다.",비즈니스 싱글,1인 출장객이나 혼자만의 휴식을 원하는 분들을 위해 컴팩트하게 구성된 객실입니다. 초고속 Wi-Fi와 인체공학적 의자가 세팅된 워크스페이스를 제공합니다.,2,5,수피리어 퀸룸,여유로운 공간에 두 개의 푹신한 싱글 침대가 준비되어 있습니다. 친구나 동료와 함께하는 여행에서도 각자의 편안한 수면을 보장하는 쾌적한 객실입니다.,2,5,busanBusinessHotel@gmail.com
롯데 호텔 제주,4,220000,2600000,제주특별자치도 서귀포시 색달동 2812-4,126.41254,33.24834,"끝없는 볼거리가 있는 오션프런트
고요하고 아름다운 이 리조트는 잘 관리된 아름다운 바다 전망과 인근 명소로 쉽게 이동할 수 있습니다. 온수 수영장, 키즈 클럽, 카지노, 최고급 조식 뷔페를 즐겨보세요.",시그니처 오션 스위트,눈앞에 펼쳐지는 환상적인 바다 전망과 파도 소리를 온전히 담아낸 최상위 스위트룸입니다. 천연 대리석 욕실과 딥티크 어메니티가 품격을 한층 더 높여줍니다.,2,5,시그니처 펜트하우스,호텔 최상층에 위치하여 압도적인 파노라마 뷰와 최고급 부대시설을 단독으로 누릴 수 있는 객실입니다. 누구에게도 방해받지 않는 최고의 럭셔리를 경험해 보세요.,4,1,lotteHotelJeju@gmail.com
켄싱턴 리조트 서귀포점,4,140000,170000,제주특별자치도 서귀포시 강정동 2673,126.41254,33.236095,"제주 서귀포 바다를 가까이에서 즐길 수 있는 가족형 리조트입니다.
넓은 객실과 다양한 편의시설을 갖춰 여유로운 휴식을 제공합니다.
서귀포 주요 관광지와 가까워 제주 여행의 거점으로 적합합니다.
리조트 내 레스토랑과 다양한 부대시설을 이용할 수 있습니다.
제주의 아름다운 자연을 편안하게 즐길 수 있는 휴양형 숙소입니다.",프리미어 패밀리 오션,서귀포의 푸른 바다가 한눈에 들어오는 넓은 거실과 침실로 구성된 가족 맞춤형 객실입니다. 4인 가족이 머물기에 넉넉한 공간과 취사 시설을 갖추어 내 집 같은 편안함을 제공합니다.,2,5,디럭스 마운틴 뷰,제주의 맑은 공기와 한라산의 탁 트인 전망을 즐길 수 있는 객실입니다. 복잡한 도심을 벗어나 자연 속에서 조용하고 편안한 휴식을 취하기에 좋습니다.,2,5,kensingtonJeju@gmail.com
호텔 시리우스,2,110000,160000,제주특별자치도 제주시 연동 2324-6,126.4165685,33.247249,"제주 공항과 가까워 이동이 편리한 프리미엄 비즈니스 호텔입니다.
모던하고 세련된 객실에서 편안한 휴식을 즐길 수 있습니다.
루프탑 수영장과 피트니스 시설 등 다양한 부대시설을 갖추고 있습니다.
제주 여행과 비즈니스 모두에 적합한 최적의 위치를 자랑합니다.
합리적인 가격과 높은 서비스 만족도로 사랑받는 호텔입니다.",스탠다드 시티뷰,제주 시내의 야경을 감상할 수 있는 모던하고 깔끔한 객실입니다. 제주국제공항과 가까운 뛰어난 접근성으로 여행 첫날이나 마지막 날 머무르기 완벽한 실속형 객실입니다,2,5,슈페리어 트윈,효율적인 공간 배치와 편안한 트윈 베드를 갖춘 쾌적한 객실입니다. 친구나 직장 동료와 함께하는 비즈니스 또는 캐주얼한 제주 여행에 적극 추천합니다.,2,5,hotelSerius@gmail.com
그랜드 조선 제주,5,326000,427000,제주특별자치도 서귀포시 색달동 2920,126.408425,33.245741,"제주의 자연과 럭셔리를 동시에 느낄 수 있는 프리미엄 리조트 호텔입니다.
세련된 인테리어의 객실과 탁 트인 전망이 특별한 휴식을 선사합니다.
온수풀, 키즈 시설, 스파 등 다양한 부대시설을 갖추고 있습니다.
중문 관광단지 중심에 위치해 주요 관광지 접근성이 뛰어납니다.
품격 있는 서비스와 미식 경험으로 완벽한 제주 여행을 제공합니다.",디럭스 풀사이드 뷰,이국적인 야외 수영장과 야자수 정원이 내려다보이는 우아한 객실입니다. 그랜드 조선만의 시그니처 침구류가 세팅되어 있어 럭셔리한 휴양지 특유의 여유로움을 만끽할 수 있습니다,2,5,이그제큐티브 스위트 ,침실과 거실이 완벽하게 분리된 여유로운 구조의 프리미엄 스위트룸입니다. 최고급 어메니티와 전용 라운지 혜택이 포함되어 최상의 VIP 서비스를 제공합니다.,4,1,grandJosunJeju@gmail.com
파르나스 호텔 제주,5,500000,1050000,제주특별자치도 서귀포시 색달동 2812-4,126.408933,33.246882,"제주의 바다를 품은 럭셔리 라이프스타일 호텔입니다.
넓고 세련된 객실에서 여유로운 휴식을 경험할 수 있습니다.
인피니티 풀과 고급 레스토랑 등 다양한 시설을 제공합니다.
중문 해변과 가까워 제주 자연을 가까이에서 느낄 수 있습니다.
특별한 여행을 위한 품격 있는 서비스가 돋보이는 호텔입니다.",클럽 프레스티지 오션,침대에 누워 제주의 끝없는 바다를 감상할 수 있는 파르나스만의 최고급 객실입니다. 클럽 라운지의 전용 체크인과 해피아워 서비스로 누구에게도 방해받지 않는 완벽한 호캉스를 완성해 보세요.,2,5,프리미어 힐 스위트,바다와 가장 가까운 절벽 위에 위치하여 압도적인 오션뷰를 자랑하는 객실입니다. 넉넉한 퀸 베드와 싱글 베드가 비치되어 있어 가족 투숙객에게 여유롭고 품격 있는 투숙 경험을 제공합니다.,4,2,parnasJeju@gmail.com
